"ID","Group","value","Time"
"1","1","1",240,1
"2","1","1",250,8
"3","1","1",255,15
"4","1","1",260,22
"5","1","1",262,29
"6","1","1",258,36
"7","1","1",266,43
"8","1","1",266,44
"9","1","1",265,50
"10","1","1",272,57
"11","1","1",278,64
"12","2","1",225,1
"13","2","1",230,8
"14","2","1",230,15
"15","2","1",232,22
"16","2","1",240,29
"17","2","1",240,36
"18","2","1",243,43
"19","2","1",244,44
"20","2","1",238,50
"21","2","1",247,57
"22","2","1",245,64
"23","3","1",245,1
"24","3","1",250,8
"25","3","1",250,15
"26","3","1",255,22
"27","3","1",262,29
"28","3","1",265,36
"29","3","1",267,43
"30","3","1",267,44
"31","3","1",264,50
"32","3","1",268,57
"33","3","1",269,64
"34","4","1",260,1
"35","4","1",255,8
"36","4","1",255,15
"37","4","1",265,22
"38","4","1",265,29
"39","4","1",268,36
"40","4","1",270,43
"41","4","1",272,44
"42","4","1",274,50
"43","4","1",273,57
"44","4","1",275,64
"45","5","1",255,1
"46","5","1",260,8
"47","5","1",255,15
"48","5","1",270,22
"49","5","1",270,29
"50","5","1",273,36
"51","5","1",274,43
"52","5","1",273,44
"53","5","1",276,50
"54","5","1",278,57
"55","5","1",280,64
"56","6","1",260,1
"57","6","1",265,8
"58","6","1",270,15
"59","6","1",275,22
"60","6","1",275,29
"61","6","1",277,36
"62","6","1",278,43
"63","6","1",278,44
"64","6","1",284,50
"65","6","1",279,57
"66","6","1",281,64
"67","7","1",275,1
"68","7","1",275,8
"69","7","1",260,15
"70","7","1",270,22
"71","7","1",273,29
"72","7","1",274,36
"73","7","1",276,43
"74","7","1",271,44
"75","7","1",282,50
"76","7","1",281,57
"77","7","1",284,64
"78","8","1",245,1
"79","8","1",255,8
"80","8","1",260,15
"81","8","1",268,22
"82","8","1",270,29
"83","8","1",265,36
"84","8","1",265,43
"85","8","1",267,44
"86","8","1",273,50
"87","8","1",274,57
"88","8","1",278,64
"89","9","2",410,1
"90","9","2",415,8
"91","9","2",425,15
"92","9","2",428,22
"93","9","2",438,29
"94","9","2",443,36
"95","9","2",442,43
"96","9","2",446,44
"97","9","2",456,50
"98","9","2",468,57
"99","9","2",478,64
"100","10","2",405,1
"101","10","2",420,8
"102","10","2",430,15
"103","10","2",440,22
"104","10","2",448,29
"105","10","2",460,36
"106","10","2",458,43
"107","10","2",464,44
"108","10","2",475,50
"109","10","2",484,57
"110","10","2",496,64
"111","11","2",445,1
"112","11","2",445,8
"113","11","2",450,15
"114","11","2",452,22
"115","11","2",455,29
"116","11","2",455,36
"117","11","2",451,43
"118","11","2",450,44
"119","11","2",462,50
"120","11","2",466,57
"121","11","2",472,64
"122","12","2",555,1
"123","12","2",560,8
"124","12","2",565,15
"125","12","2",580,22
"126","12","2",590,29
"127","12","2",597,36
"128","12","2",595,43
"129","12","2",595,44
"130","12","2",612,50
"131","12","2",618,57
"132","12","2",628,64
"133","13","3",470,1
"134","13","3",465,8
"135","13","3",475,15
"136","13","3",485,22
"137","13","3",487,29
"138","13","3",493,36
"139","13","3",493,43
"140","13","3",504,44
"141","13","3",507,50
"142","13","3",518,57
"143","13","3",525,64
"144","14","3",535,1
"145","14","3",525,8
"146","14","3",530,15
"147","14","3",533,22
"148","14","3",535,29
"149","14","3",540,36
"150","14","3",525,43
"151","14","3",530,44
"152","14","3",543,50
"153","14","3",544,57
"154","14","3",559,64
"155","15","3",520,1
"156","15","3",525,8
"157","15","3",530,15
"158","15","3",540,22
"159","15","3",543,29
"160","15","3",546,36
"161","15","3",538,43
"162","15","3",544,44
"163","15","3",553,50
"164","15","3",555,57
"165","15","3",548,64
"166","16","3",510,1
"167","16","3",510,8
"168","16","3",520,15
"169","16","3",515,22
"170","16","3",530,29
"171","16","3",538,36
"172","16","3",535,43
"173","16","3",542,44
"174","16","3",550,50
"175","16","3",553,57
"176","16","3",569,64
